      Date   Data Minimum    10%    30%   Mean    70%    90% Maximum
2001-01-01 296.28  278.53 286.84 292.21 300.63 306.11 318.92  332.20
2001-01-02 295.34  277.49 287.59 291.84 300.35 305.68 317.96  331.09
2001-01-03 294.40  276.91 286.98 291.08 299.63 305.09 316.62  330.09
2001-01-04 293.39  276.90 286.63 291.42 298.48 303.84 314.29  328.39
2001-01-05 293.62  277.32 285.38 290.65 298.48 303.49 314.73  327.41
2001-01-06 294.09  277.26 284.95 290.48 297.51 301.37 313.19  327.07
2001-01-07 294.06  276.55 284.26 290.23 297.03 301.32 312.62  326.87
2001-01-08 292.74  275.78 283.42 290.04 295.93 299.63 312.31  325.53
2001-01-09 291.99  276.18 283.27 289.85 296.02 301.26 312.11  324.76
2001-01-10 290.79  275.50 282.58 289.34 295.65 300.38 310.43  324.02
2001-01-11 290.85  275.14 282.05 288.87 295.19 299.23 310.06  324.03
2001-01-12 290.74  276.16 281.70 288.59 294.61 298.22 309.55  322.73
2001-01-13 290.81  277.19 281.38 287.52 293.82 297.01 309.09  321.82
2001-01-14 290.99  278.54 282.94 287.23 293.78 296.55 308.65  321.94
2001-01-15 289.09  277.73 282.69 286.88 293.40 296.90 306.97  323.35
2001-01-16 286.62  277.86 281.63 286.49 292.45 294.97 306.53  322.11
2001-01-17 284.87  276.34 281.08 285.66 292.21 296.16 305.54  319.44
2001-01-18 283.81  276.77 281.44 285.56 291.69 295.24 304.76  319.10
2001-01-19 284.11  277.22 281.13 285.48 291.41 295.09 304.63  320.19
2001-01-20 283.41  277.27 280.39 284.24 290.31 293.82 301.91  319.60
2001-01-21 282.91  277.18 281.26 284.20 290.41 293.12 303.92  317.91
2001-01-22 282.60  276.97 281.18 284.74 290.23 292.02 302.44  315.48
2001-01-23 283.30  277.00 280.91 284.43 290.09 292.00 301.47  314.96
2001-01-24 283.27  277.66 281.78 284.98 289.89 292.46 300.71  311.99
2001-01-25 283.22  277.57 281.70 285.25 289.76 290.60 299.68  310.94
