      Date   Data Minimum    10%    30%   Mean    70%    90% Maximum
1992-01-01 306.47  278.53 286.84 292.21 300.63 306.11 318.92  332.20
1992-01-02 305.96  277.49 287.59 291.84 300.35 305.68 317.96  331.09
1992-01-03 306.43  276.91 286.98 291.08 299.63 305.09 316.62  330.09
1992-01-04 306.00  276.90 286.63 291.42 298.48 303.84 314.29  328.39
1992-01-05 306.22  277.32 285.38 290.65 298.48 303.49 314.73  327.41
1992-01-06 305.01  277.26 284.95 290.48 297.51 301.37 313.19  327.07
1992-01-07 305.58  276.55 284.26 290.23 297.03 301.32 312.62  326.87
1992-01-08 306.54  275.78 283.42 290.04 295.93 299.63 312.31  325.53
1992-01-09 306.87  276.18 283.27 289.85 296.02 301.26 312.11  324.76
1992-01-10 306.54  275.50 282.58 289.34 295.65 300.38 310.43  324.02
1992-01-11 305.45  275.14 282.05 288.87 295.19 299.23 310.06  324.03
1992-01-12 303.97  276.16 281.70 288.59 294.61 298.22 309.55  322.73
1992-01-13 301.49  277.19 281.38 287.52 293.82 297.01 309.09  321.82
1992-01-14 299.52  278.54 282.94 287.23 293.78 296.55 308.65  321.94
1992-01-15 299.04  277.73 282.69 286.88 293.40 296.90 306.97  323.35
1992-01-16 298.53  277.86 281.63 286.49 292.45 294.97 306.53  322.11
1992-01-17 297.28  276.34 281.08 285.66 292.21 296.16 305.54  319.44
1992-01-18 297.25  276.77 281.44 285.56 291.69 295.24 304.76  319.10
1992-01-19 297.22  277.22 281.13 285.48 291.41 295.09 304.63  320.19
1992-01-20 295.83  277.27 280.39 284.24 290.31 293.82 301.91  319.60
1992-01-21 295.93  277.18 281.26 284.20 290.41 293.12 303.92  317.91
1992-01-22 296.40  276.97 281.18 284.74 290.23 292.02 302.44  315.48
1992-01-23 296.27  277.00 280.91 284.43 290.09 292.00 301.47  314.96
1992-01-24 296.95  277.66 281.78 284.98 289.89 292.46 300.71  311.99
1992-01-25 298.05  277.57 281.70 285.25 289.76 290.60 299.68  310.94
1992-01-26 297.33  277.86 281.48 284.96 289.43 291.03 299.55  309.65
1992-01-27 296.90  277.95 281.07 284.31 289.04 290.18 299.06  310.30
1992-01-28 297.14  276.76 279.77 283.48 288.43 290.05 298.91  310.26
1992-01-29 297.31  275.25 280.26 282.60 288.27 290.65 298.75  311.20
1992-01-30 294.98  276.39 279.03 282.42 288.23 291.43 297.72  313.17
1992-01-31 295.74  274.27 278.40 282.19 288.00 292.01 297.81  314.66
1992-02-01 296.66  273.31 278.21 281.41 287.57 291.73 299.49  312.99
1992-02-02 296.61  272.53 277.25 281.35 287.25 290.04 299.07  313.55
1992-02-03 295.81  273.54 277.44 281.11 286.82 289.53 298.93  312.55
1992-02-04 295.72  273.36 276.62 280.98 286.60 289.88 298.91  313.46
1992-02-05 294.81  272.69 276.91 281.16 286.35 289.22 298.21  312.11
1992-02-06 293.17  272.26 276.25 280.84 286.10 289.17 297.97  310.51
1992-02-07 291.01  271.98 275.83 280.64 285.85 289.45 296.75  310.08
1992-02-08 290.61  271.77 275.60 280.14 285.56 289.43 297.42  309.44
1992-02-09 291.54  271.14 275.00 279.61 284.88 289.12 294.01  308.15
1992-02-10 293.36  270.94 275.09 279.66 284.93 288.17 294.87  308.16
1992-02-11 291.93  270.79 276.29 279.70 284.62 288.01 293.80  310.04
1992-02-12 291.94  271.70 275.52 279.41 284.46 287.53 293.51  309.92
1992-02-13 291.11  272.23 275.40 279.46 283.77 287.19 293.37  307.06
1992-02-14 289.75  271.99 275.19 279.68 283.66 287.83 293.38  307.38
1992-02-15 289.17  271.83 275.22 279.11 283.54 288.13 293.14  307.30
1992-02-16 289.68  271.12 274.97 277.73 283.38 288.78 293.13  310.60
1992-02-17 289.26  269.83 274.80 277.52 283.09 288.63 293.47  308.28
1992-02-18 289.61  271.04 273.15 277.19 282.96 287.66 293.85  306.81
1992-02-19 291.08  268.96 273.55 277.02 282.91 287.13 293.58  306.67
1992-02-20 291.54  268.50 273.27 277.58 282.62 286.90 293.41  307.60
1992-02-21 291.91  267.10 273.09 276.90 281.83 285.08 292.28  306.70
1992-02-22 292.84  267.73 273.71 276.70 282.24 285.32 293.69  304.97
1992-02-23 293.27  266.36 272.22 276.01 282.05 286.04 294.11  304.37
1992-02-24 292.35  269.22 271.87 276.51 282.34 286.14 293.52  304.54
1992-02-25 291.28  268.89 272.42 277.28 282.53 286.38 294.52  302.23
1992-02-26 290.95  268.29 271.73 277.52 282.60 287.16 295.02  301.90
1992-02-27 291.05  267.69 272.26 277.40 282.38 287.63 294.18  302.87
1992-02-28 290.08  267.04 272.29 276.28 282.43 287.32 292.95  303.24
1992-03-01 290.66  265.12 272.71 276.43 282.44 286.47 293.45  303.67
1992-03-02 289.35  265.47 272.85 276.49 282.12 285.86 292.35  305.69
1992-03-03 288.42  264.55 272.30 276.86 282.13 286.48 292.73  309.45
1992-03-04 287.24  263.74 271.35 277.40 282.35 285.96 292.86  307.91
1992-03-05 286.28  264.55 271.94 277.93 282.29 286.57 291.77  305.92
1992-03-06 286.71  265.10 271.97 278.84 283.14 287.91 293.70  308.20
1992-03-07 288.68  264.27 273.20 279.34 283.38 288.26 294.53  308.32
1992-03-08 290.05  266.02 273.73 279.98 283.26 287.42 292.25  305.87
1992-03-09 288.82  268.44 273.75 278.08 282.69 286.65 291.07  305.96
1992-03-10 288.06  267.79 273.16 277.59 282.39 286.16 291.95  307.46
1992-03-11 288.78  267.75 272.02 278.10 281.97 284.44 291.44  306.88
1992-03-12 287.78  267.60 271.07 277.60 281.82 284.86 290.90  304.38
1992-03-13 286.64  264.70 272.25 277.14 281.22 284.14 291.12  301.87
1992-03-14 288.91  264.68 271.69 277.46 280.73 284.08 291.17  298.89
1992-03-15 288.60  264.69 270.50 276.93 280.62 282.77 291.47  300.22
1992-03-16 288.45  264.87 271.61 275.86 280.37 283.22 290.55  300.52
1992-03-17 289.04  265.10 270.23 275.16 279.99 284.68 290.01  298.59
1992-03-18 288.42  264.79 268.20 274.89 279.99 285.65 290.16  299.01
1992-03-19 286.95  265.33 268.18 274.51 279.89 284.78 287.83  302.53
1992-03-20 286.15  262.94 268.61 275.05 279.79 284.43 288.01  305.24
1992-03-21 285.98  263.04 268.02 274.59 279.89 285.14 287.93  306.58
1992-03-22 288.13  266.10 269.80 274.63 280.38 285.44 288.32  306.28
1992-03-23 290.47  266.46 270.21 276.35 280.64 284.60 288.34  308.58
1992-03-24 290.29  266.65 270.38 274.95 280.30 283.42 289.75  307.60
1992-03-25 289.28  265.78 271.46 276.42 280.09 282.06 289.59  306.40
1992-03-26 288.20  264.39 269.66 274.32 279.58 281.32 289.62  304.34
1992-03-27 288.70  264.38 268.79 275.65 279.31 280.48 290.50  301.80
1992-03-28 287.91  265.50 269.11 275.59 279.12 280.65 290.69  299.39
1992-03-29 284.15  264.02 269.99 275.29 279.45 282.87 290.99  300.00
