      Date   Data Minimum    10%    30%   Mean    70%    90% Maximum
2009-02-09 271.14  271.14 275.00 279.61 284.88 289.12 294.01  308.15
2009-02-10 270.94  270.94 275.09 279.66 284.93 288.17 294.87  308.16
2009-02-11 270.79  270.79 276.29 279.70 284.62 288.01 293.80  310.04
2009-02-12 271.70  271.70 275.52 279.41 284.46 287.53 293.51  309.92
2009-02-13 272.23  272.23 275.40 279.46 283.77 287.19 293.37  307.06
2009-02-14 273.02  271.99 275.19 279.68 283.66 287.83 293.38  307.38
2009-02-15 273.16  271.83 275.22 279.11 283.54 288.13 293.14  307.30
2009-02-16 273.10  271.12 274.97 277.73 283.38 288.78 293.13  310.60
2009-02-17 271.99  269.83 274.80 277.52 283.09 288.63 293.47  308.28
2009-02-18 271.87  271.04 273.15 277.19 282.96 287.66 293.85  306.81
2009-02-19 269.67  268.96 273.55 277.02 282.91 287.13 293.58  306.67
2009-02-20 268.50  268.50 273.27 277.58 282.62 286.90 293.41  307.60
2009-02-21 268.60  267.10 273.09 276.90 281.83 285.08 292.28  306.70
2009-02-22 268.54  267.73 273.71 276.70 282.24 285.32 293.69  304.97
2009-02-23 269.02  266.36 272.22 276.01 282.05 286.04 294.11  304.37
2009-02-24 271.88  269.22 271.87 276.51 282.34 286.14 293.52  304.54
2009-02-25 272.50  268.89 272.42 277.28 282.53 286.38 294.52  302.23
2009-02-26 271.18  268.29 271.73 277.52 282.60 287.16 295.02  301.90
2009-02-27 269.32  267.69 272.26 277.40 282.38 287.63 294.18  302.87
2009-02-28 267.04  267.04 272.29 276.28 282.43 287.32 292.95  303.24
2009-03-01 266.51  265.12 272.71 276.43 282.44 286.47 293.45  303.67
2009-03-02 265.52  265.47 272.85 276.49 282.12 285.86 292.35  305.69
2009-03-03 265.37  264.55 272.30 276.86 282.13 286.48 292.73  309.45
2009-03-04 266.43  263.74 271.35 277.40 282.35 285.96 292.86  307.91
2009-03-05 267.88  264.55 271.94 277.93 282.29 286.57 291.77  305.92
2009-03-06 267.71  265.10 271.97 278.84 283.14 287.91 293.70  308.20
2009-03-07 264.27  264.27 273.20 279.34 283.38 288.26 294.53  308.32
2009-03-08 266.02  266.02 273.73 279.98 283.26 287.42 292.25  305.87
2009-03-09 268.59  268.44 273.75 278.08 282.69 286.65 291.07  305.96
2009-03-10 269.71  267.79 273.16 277.59 282.39 286.16 291.95  307.46
2009-03-11 270.55  267.75 272.02 278.10 281.97 284.44 291.44  306.88
2009-03-12 270.19  267.60 271.07 277.60 281.82 284.86 290.90  304.38
2009-03-13 272.30  264.70 272.25 277.14 281.22 284.14 291.12  301.87
2009-03-14 273.35  264.68 271.69 277.46 280.73 284.08 291.17  298.89
2009-03-15 273.18  264.69 270.50 276.93 280.62 282.77 291.47  300.22
2009-03-16 275.32  264.87 271.61 275.86 280.37 283.22 290.55  300.52
2009-03-17 274.76  265.10 270.23 275.16 279.99 284.68 290.01  298.59
2009-03-18 270.37  264.79 268.20 274.89 279.99 285.65 290.16  299.01
2009-03-19 265.33  265.33 268.18 274.51 279.89 284.78 287.83  302.53
2009-03-20 262.94  262.94 268.61 275.05 279.79 284.43 288.01  305.24
2009-03-21 263.04  263.04 268.02 274.59 279.89 285.14 287.93  306.58
2009-03-22 266.10  266.10 269.80 274.63 280.38 285.44 288.32  306.28
2009-03-23 266.46  266.46 270.21 276.35 280.64 284.60 288.34  308.58
2009-03-24 266.65  266.65 270.38 274.95 280.30 283.42 289.75  307.60
2009-03-25 265.78  265.78 271.46 276.42 280.09 282.06 289.59  306.40
2009-03-26 266.75  264.39 269.66 274.32 279.58 281.32 289.62  304.34
2009-03-27 268.81  264.38 268.79 275.65 279.31 280.48 290.50  301.80
2009-03-28 267.35  265.50 269.11 275.59 279.12 280.65 290.69  299.39
2009-03-29 268.14  264.02 269.99 275.29 279.45 282.87 290.99  300.00
2009-03-30 268.24  263.12 269.56 275.00 279.17 281.35 291.13  299.50
2009-03-31 267.28  262.37 267.92 274.46 278.68 282.04 290.55  303.74
2009-04-01 266.68  261.13 268.38 274.36 278.76 282.26 288.13  300.84
2009-04-02 266.19  264.00 268.94 275.06 278.92 282.20 289.96  298.63
2009-04-03 267.98  264.73 268.79 273.65 278.62 281.55 290.08  296.72
2009-04-04 270.78  264.19 270.62 274.22 278.62 281.65 287.86  294.89
2009-04-05 268.94  266.84 269.61 274.44 278.48 281.54 289.18  294.40
2009-04-06 268.17  265.35 270.60 273.80 278.29 282.18 288.64  294.99
2009-04-07 268.81  266.35 270.61 275.29 278.25 280.13 288.97  296.21
2009-04-08 268.47  265.41 269.31 275.79 278.04 281.05 284.43  294.63
2009-04-09 268.46  266.01 269.13 273.22 277.59 281.42 284.52  293.39
2009-04-10 268.78  265.38 269.48 272.42 277.70 282.00 287.57  291.90
2009-04-11 267.14  264.82 268.19 274.17 278.52 282.77 287.33  295.08
2009-04-12 267.63  265.21 267.97 274.87 278.48 281.55 286.62  297.39
2009-04-13 266.16  264.10 266.99 273.82 277.34 281.31 286.76  295.15
2009-04-14 268.15  263.93 267.65 272.27 276.74 280.39 284.94  295.40
2009-04-15 271.39  263.32 267.86 273.86 276.93 280.72 285.97  292.83
2009-04-16 271.59  263.92 266.89 273.85 277.26 280.66 285.09  295.15
2009-04-17 272.88  265.32 267.64 273.22 277.64 283.19 285.44  291.87
2009-04-18 274.43  263.95 268.80 273.80 278.05 282.50 289.34  294.10
2009-04-19 272.38  261.03 269.32 272.86 278.02 282.20 289.75  304.39
2009-04-20 273.74  261.48 268.21 273.60 278.67 282.43 288.96  309.36
2009-04-21 274.27  262.83 269.90 273.99 279.08 282.34 289.58  313.52
2009-04-22 273.04  267.20 270.50 273.86 279.09 282.23 287.42  310.98
2009-04-23 272.15  266.66 270.65 273.42 279.05 282.25 289.16  307.72
2009-04-24 272.73  267.85 270.39 272.65 278.56 282.19 288.10  306.52
2009-04-25 274.64  260.19 269.02 273.01 278.39 283.92 289.30  303.59
2009-04-26 277.93  256.50 268.85 272.82 278.07 282.35 289.27  303.88
2009-04-27 280.12  261.62 268.56 274.50 277.88 280.01 287.79  297.71
2009-04-28 279.60  263.19 269.66 274.86 278.92 282.43 287.74  298.72
2009-04-29 278.05  263.07 269.69 276.64 279.48 283.87 288.01  301.78
2009-04-30 273.02  262.69 269.76 274.52 279.35 283.62 290.16  299.43
2009-05-01 271.25  262.38 270.87 274.80 279.39 284.18 288.69  298.72
2009-05-02 271.37  266.59 270.50 273.88 279.97 284.70 289.82  306.81
2009-05-03 273.21  262.44 269.34 273.45 279.43 284.34 289.48  310.35
2009-05-04 274.53  261.51 269.50 273.30 278.98 282.94 289.25  304.18
2009-05-05 275.97  259.45 270.40 275.96 279.08 282.49 289.75  300.35
2009-05-06 278.15  259.38 269.06 274.94 279.57 282.61 291.38  306.84
