      Date   Data Minimum    10%    30%   Mean    70%    90% Maximum
2021-01-01 299.63  278.53 287.07 292.29 300.60 306.10 318.87  332.20
2021-01-02 299.81  277.49 288.00 291.91 300.33 305.46 317.87  331.09
2021-01-03 300.03  276.91 287.26 291.10 299.64 304.51 316.39  330.09
2021-01-04 299.22  276.90 286.82 291.43 298.50 303.70 314.06  328.39
2021-01-05 297.32  277.32 285.58 290.65 298.45 303.48 314.37  327.41
2021-01-06 295.38  277.26 285.26 290.70 297.46 301.26 312.83  327.07
2021-01-07 293.02  276.55 284.43 290.58 296.93 301.01 312.38  326.87
2021-01-08 289.26  275.78 283.48 289.42 295.76 299.00 312.30  325.53
2021-01-09 286.09  276.18 283.42 289.75 295.78 300.85 312.06  324.76
2021-01-10 284.52  275.50 282.59 288.74 295.37 300.38 310.39  324.02
2021-01-11 282.63  275.14 282.12 288.47 294.88 299.16 309.98  324.03
2021-01-12 282.11  276.16 281.86 288.40 294.30 297.93 309.54  322.73
2021-01-13 280.21  277.19 280.21 287.00 293.48 296.97 308.96  321.82
2021-01-14 280.37  278.54 282.23 286.62 293.44 296.38 308.44  321.94
2021-01-15 279.90  277.73 281.96 286.67 293.06 296.42 306.62  323.35
2021-01-16 278.44  277.86 280.69 286.33 292.09 294.95 306.49  322.11
2021-01-17 276.35  276.34 280.31 285.34 291.81 295.32 305.39  319.44
2021-01-18 273.92  273.92 280.14 284.84 291.24 294.52 304.72  319.10
2021-01-19 274.96  274.96 280.59 284.89 291.00 294.75 304.58  320.19
2021-01-20 276.59  276.59 279.93 283.73 289.96 293.69 301.69  319.60
2021-01-21 276.60  276.60 280.96 283.24 290.07 292.86 303.84  317.91
2021-01-22 276.33  276.33 280.81 283.97 289.88 291.93 302.24  315.48
2021-01-23 275.41  275.41 280.64 284.08 289.72 292.00 301.06  314.96
2021-01-24 274.37  274.37 281.02 284.53 289.50 291.99 300.40  311.99
2021-01-25 274.42  274.42 280.62 285.11 289.38 290.47 299.16  310.94
2021-01-26 275.39  275.39 280.84 284.61 289.08 290.67 299.12  309.65
2021-01-27 275.51  275.51 280.76 284.01 288.71 289.83 298.68  310.30
2021-01-28 276.58  276.58 279.20 283.04 288.13 290.04 298.70  310.26
2021-01-29 278.14  275.25 279.01 282.38 288.02 290.63 298.45  311.20
2021-01-30 279.08  276.39 279.04 282.01 288.00 291.24 297.27  313.17
2021-01-31 280.14  274.27 278.43 282.05 287.81 291.84 297.27  314.66
2021-02-01 281.01  273.31 278.37 281.21 287.41 291.72 299.19  312.99
2021-02-02 281.58  272.53 277.32 281.41 287.11 290.01 298.89  313.55
2021-02-03 283.37  273.54 277.45 281.30 286.74 289.36 298.73  312.55
2021-02-04 286.08  273.36 276.64 281.06 286.59 289.48 298.72  313.46
2021-02-05 284.98  272.69 276.93 281.17 286.31 289.12 298.08  312.11
2021-02-06 285.17  272.26 276.30 281.00 286.07 289.10 297.79  310.51
2021-02-07 282.05  271.98 275.85 281.07 285.76 289.38 296.72  310.08
2021-02-08 282.76  271.77 275.63 280.41 285.49 289.39 297.38  309.44
2021-02-09 285.57  271.14 275.05 279.69 284.90 288.76 293.57  308.15
2021-02-10 284.60  270.94 275.12 279.71 284.93 288.01 294.86  308.16
2021-02-11 283.19  270.79 276.30 279.84 284.59 288.00 293.76  310.04
2021-02-12 282.70  271.70 275.54 279.58 284.41 287.03 293.48  309.92
2021-02-13 281.78  272.23 275.44 279.51 283.72 287.11 293.30  307.06
2021-02-14 281.97  271.99 275.40 279.76 283.62 287.69 293.30  307.38
2021-02-15 281.72  271.83 275.34 279.18 283.49 287.69 292.97  307.30
