      Date    Data Minimum    10%    30%   Mean    70%    90% Maximum
1993-01-01  300.34  278.53 286.84 292.21 300.63 306.11 318.92  332.20
1993-01-02  299.31  277.49 287.59 291.84 300.35 305.68 317.96  331.09
1993-01-03  298.19  276.91 286.98 291.08 299.63 305.09 316.62  330.09
1993-01-04  296.96  276.90 286.63 291.42 298.48 303.84 314.29  328.39
1993-01-05  296.54  277.32 285.38 290.65 298.48 303.49 314.73  327.41
1993-01-06  295.29  277.26 284.95 290.48 297.51 301.37 313.19  327.07
1993-01-07  294.44  276.55 284.26 290.23 297.03 301.32 312.62  326.87
1993-01-08  292.23  275.78 283.42 290.04 295.93 299.63 312.31  325.53
1993-01-09  289.75  276.18 283.27 289.85 296.02 301.26 312.11  324.76
1993-01-10  288.79  275.50 282.58 289.34 295.65 300.38 310.43  324.02
1993-01-11  288.55  275.14 282.05 288.87 295.19 299.23 310.06  324.03
1993-01-12  288.84  276.16 281.70 288.59 294.61 298.22 309.55  322.73
1993-01-13  288.27  277.19 281.38 287.52 293.82 297.01 309.09  321.82
1993-01-14  288.00  278.54 282.94 287.23 293.78 296.55 308.65  321.94
1993-01-15  287.43  277.73 282.69 286.88 293.40 296.90 306.97  323.35
1993-01-16  286.52  277.86 281.63 286.49 292.45 294.97 306.53  322.11
1993-01-17  285.82  276.34 281.08 285.66 292.21 296.16 305.54  319.44
1993-01-18  286.30  276.77 281.44 285.56 291.69 295.24 304.76  319.10
1993-01-19  287.36  277.22 281.13 285.48 291.41 295.09 304.63  320.19
1993-01-20  287.65  277.27 280.39 284.24 290.31 293.82 301.91  319.60
1993-01-21  288.00  277.18 281.26 284.20 290.41 293.12 303.92  317.91
1993-01-22  288.43  276.97 281.18 284.74 290.23 292.02 302.44  315.48
1993-01-23  288.37  277.00 280.91 284.43 290.09 292.00 301.47  314.96
1993-01-24  288.41  277.66 281.78 284.98 289.89 292.46 300.71  311.99
1993-01-25  288.43  277.57 281.70 285.25 289.76 290.60 299.68  310.94
1993-01-26  287.15  277.86 281.48 284.96 289.43 291.03 299.55  309.65
1993-01-27  287.25  277.95 281.07 284.31 289.04 290.18 299.06  310.30
1993-01-28  287.39  276.76 279.77 283.48 288.43 290.05 298.91  310.26
1993-01-29  287.31  275.25 280.26 282.60 288.27 290.65 298.75  311.20
1993-01-30  286.52  276.39 279.03 282.42 288.23 291.43 297.72  313.17
1993-01-31  286.57  274.27 278.40 282.19 288.00 292.01 297.81  314.66
1993-02-01  286.87  273.31 278.21 281.41 287.57 291.73 299.49  312.99
1993-02-02  287.36  272.53 277.25 281.35 287.25 290.04 299.07  313.55
1993-02-03  287.80  273.54 277.44 281.11 286.82 289.53 298.93  312.55
1993-02-04  288.68  273.36 276.62 280.98 286.60 289.88 298.91  313.46
1993-02-05  289.03  272.69 276.91 281.16 286.35 289.22 298.21  312.11
1993-02-06  289.27  272.26 276.25 280.84 286.10 289.17 297.97  310.51
1993-02-07  290.30  271.98 275.83 280.64 285.85 289.45 296.75  310.08
1993-02-08  290.22  271.77 275.60 280.14 285.56 289.43 297.42  309.44
1993-02-09  290.84  271.14 275.00 279.61 284.88 289.12 294.01  308.15
1993-02-10  290.18  270.94 275.09 279.66 284.93 288.17 294.87  308.16
1993-02-11  288.03  270.79 276.29 279.70 284.62 288.01 293.80  310.04
1993-02-12  285.49  271.70 275.52 279.41 284.46 287.53 293.51  309.92
1993-02-13  284.53  272.23 275.40 279.46 283.77 287.19 293.37  307.06
1993-02-14  285.49  271.99 275.19 279.68 283.66 287.83 293.38  307.38
1993-02-15  284.97  271.83 275.22 279.11 283.54 288.13 293.14  307.30
1993-02-16  284.86  271.12 274.97 277.73 283.38 288.78 293.13  310.60
1993-02-17  284.57  269.83 274.80 277.52 283.09 288.63 293.47  308.28
1993-02-18  284.96  271.04 273.15 277.19 282.96 287.66 293.85  306.81
1993-02-19  284.85  268.96 273.55 277.02 282.91 287.13 293.58  306.67
1993-02-20  286.83  268.50 273.27 277.58 282.62 286.90 293.41  307.60
1993-02-21  284.93  267.10 273.09 276.90 281.83 285.08 292.28  306.70
1993-02-22  283.30  267.73 273.71 276.70 282.24 285.32 293.69  304.97
1993-02-23  281.23  266.36 272.22 276.01 282.05 286.04 294.11  304.37
1993-02-24  280.32  269.22 271.87 276.51 282.34 286.14 293.52  304.54
1993-02-25  280.62  268.89 272.42 277.28 282.53 286.38 294.52  302.23
1993-02-26  282.18  268.29 271.73 277.52 282.60 287.16 295.02  301.90
1993-02-27  284.62  267.69 272.26 277.40 282.38 287.63 294.18  302.87
1993-02-28  284.93  267.04 272.29 276.28 282.43 287.32 292.95  303.24
1993-03-01  284.99  265.12 272.71 276.43 282.44 286.47 293.45  303.67
1993-03-02  284.78  265.47 272.85 276.49 282.12 285.86 292.35  305.69
1993-03-03  286.86  264.55 272.30 276.86 282.13 286.48 292.73  309.45
1993-03-04  288.02  263.74 271.35 277.40 282.35 285.96 292.86  307.91
1993-03-05  287.81  264.55 271.94 277.93 282.29 286.57 291.77  305.92
1993-03-06  288.12  265.10 271.97 278.84 283.14 287.91 293.70  308.20
1993-03-07  288.08  264.27 273.20 279.34 283.38 288.26 294.53  308.32
1993-03-08  289.33  266.02 273.73 279.98 283.26 287.42 292.25  305.87
1993-03-09  290.93  268.44 273.75 278.08 282.69 286.65 291.07  305.96
1993-03-10  289.14  267.79 273.16 277.59 282.39 286.16 291.95  307.46
1993-03-11  289.24  267.75 272.02 278.10 281.97 284.44 291.44  306.88
1993-03-12  289.93  267.60 271.07 277.60 281.82 284.86 290.90  304.38
1993-03-13  290.08  264.70 272.25 277.14 281.22 284.14 291.12  301.87
1993-03-14  290.49  264.68 271.69 277.46 280.73 284.08 291.17  298.89
1993-03-15  291.40  264.69 270.50 276.93 280.62 282.77 291.47  300.22
1993-03-16  292.60  264.87 271.61 275.86 280.37 283.22 290.55  300.52
1993-03-17  292.40  265.10 270.23 275.16 279.99 284.68 290.01  298.59
1993-03-18  290.08  264.79 268.20 274.89 279.99 285.65 290.16  299.01
1993-03-19  289.23  265.33 268.18 274.51 279.89 284.78 287.83  302.53
1993-03-20  287.55  262.94 268.61 275.05 279.79 284.43 288.01  305.24
1993-03-21  287.05  263.04 268.02 274.59 279.89 285.14 287.93  306.58
1993-03-22  284.48  266.10 269.80 274.63 280.38 285.44 288.32  306.28
1993-03-23  285.11  266.46 270.21 276.35 280.64 284.60 288.34  308.58
1993-03-24  284.66  266.65 270.38 274.95 280.30 283.42 289.75  307.60
1993-03-25  284.21  265.78 271.46 276.42 280.09 282.06 289.59  306.40
1993-03-26  282.11  264.39 269.66 274.32 279.58 281.32 289.62  304.34
1993-03-27  279.85  264.38 268.79 275.65 279.31 280.48 290.50  301.80
1993-03-28  277.25  265.50 269.11 275.59 279.12 280.65 290.69  299.39
1993-03-29  277.46  264.02 269.99 275.29 279.45 282.87 290.99  300.00
1993-03-30  276.33  263.12 269.56 275.00 279.17 281.35 291.13  299.50
1993-03-31  274.73  262.37 267.92 274.46 278.68 282.04 290.55  303.74
1993-04-01  276.67  261.13 268.38 274.36 278.76 282.26 288.13  300.84
1993-04-02  279.03  264.00 268.94 275.06 278.92 282.20 289.96  298.63
1993-04-03  278.99  264.73 268.79 273.65 278.62 281.55 290.08  296.72
1993-04-04  278.38  264.19 270.62 274.22 278.62 281.65 287.86  294.89
1993-04-05  275.50  266.84 269.61 274.44 278.48 281.54 289.18  294.40
1993-04-06  276.54  265.35 270.60 273.80 278.29 282.18 288.64  294.99
1993-04-07  276.01  266.35 270.61 275.29 278.25 280.13 288.97  296.21
