      Date    Data Minimum    10%    30%   Mean    70%    90% Maximum
2006-02-21  276.71  267.10 273.09 276.90 281.83 285.08 292.28  306.70
2006-02-22  276.82  267.73 273.71 276.70 282.24 285.32 293.69  304.97
2006-02-23  277.25  266.36 272.22 276.01 282.05 286.04 294.11  304.37
2006-02-24  277.38  269.22 271.87 276.51 282.34 286.14 293.52  304.54
2006-02-25  277.26  268.89 272.42 277.28 282.53 286.38 294.52  302.23
2006-02-26  277.71  268.29 271.73 277.52 282.60 287.16 295.02  301.90
2006-02-27  279.04  267.69 272.26 277.40 282.38 287.63 294.18  302.87
2006-02-28 -9999.0  267.04 272.29 276.28 282.43 287.32 292.95  303.24
2006-03-01 -9999.0  265.12 272.71 276.43 282.44 286.47 293.45  303.67
2006-03-02 -9999.0  265.47 272.85 276.49 282.12 285.86 292.35  305.69
2006-03-03  282.37  264.55 272.30 276.86 282.13 286.48 292.73  309.45
2006-03-04  285.56  263.74 271.35 277.40 282.35 285.96 292.86  307.91
2006-03-05  286.77  264.55 271.94 277.93 282.29 286.57 291.77  305.92
2006-03-06  286.53  265.10 271.97 278.84 283.14 287.91 293.70  308.20
2006-03-07  286.33  264.27 273.20 279.34 283.38 288.26 294.53  308.32
2006-03-08  286.38  266.02 273.73 279.98 283.26 287.42 292.25  305.87
2006-03-09  285.89  268.44 273.75 278.08 282.69 286.65 291.07  305.96
2006-03-10  286.58  267.79 273.16 277.59 282.39 286.16 291.95  307.46
2006-03-11  285.13  267.75 272.02 278.10 281.97 284.44 291.44  306.88
2006-03-12  285.87  267.60 271.07 277.60 281.82 284.86 290.90  304.38
2006-03-13  286.74  264.70 272.25 277.14 281.22 284.14 291.12  301.87
2006-03-14  286.26  264.68 271.69 277.46 280.73 284.08 291.17  298.89
2006-03-15  286.05  264.69 270.50 276.93 280.62 282.77 291.47  300.22
2006-03-16  285.26  264.87 271.61 275.86 280.37 283.22 290.55  300.52
2006-03-17  285.35  265.10 270.23 275.16 279.99 284.68 290.01  298.59
