      Date    Data Minimum    10%    30%   Mean    70%    90% Maximum
1995-01-01 -9999.0  278.53 286.84 292.21 300.63 306.11 318.92  332.20
1995-01-02 -9999.0  277.49 287.59 291.84 300.35 305.68 317.96  331.09
1995-01-03 -9999.0  276.91 286.98 291.08 299.63 305.09 316.62  330.09
1995-01-04 -9999.0  276.90 286.63 291.42 298.48 303.84 314.29  328.39
1995-01-05 -9999.0  277.32 285.38 290.65 298.48 303.49 314.73  327.41
1995-01-06 -9999.0  277.26 284.95 290.48 297.51 301.37 313.19  327.07
1995-01-07 -9999.0  276.55 284.26 290.23 297.03 301.32 312.62  326.87
1995-01-08 -9999.0  275.78 283.42 290.04 295.93 299.63 312.31  325.53
1995-01-09 -9999.0  276.18 283.27 289.85 296.02 301.26 312.11  324.76
1995-01-10 -9999.0  275.50 282.58 289.34 295.65 300.38 310.43  324.02
1995-01-11 -9999.0  275.14 282.05 288.87 295.19 299.23 310.06  324.03
1995-01-12 -9999.0  276.16 281.70 288.59 294.61 298.22 309.55  322.73
1995-01-13 -9999.0  277.19 281.38 287.52 293.82 297.01 309.09  321.82
1995-01-14 -9999.0  278.54 282.94 287.23 293.78 296.55 308.65  321.94
1995-01-15 -9999.0  277.73 282.69 286.88 293.40 296.90 306.97  323.35
1995-01-16 -9999.0  277.86 281.63 286.49 292.45 294.97 306.53  322.11
1995-01-17 -9999.0  276.34 281.08 285.66 292.21 296.16 305.54  319.44
1995-01-18 -9999.0  276.77 281.44 285.56 291.69 295.24 304.76  319.10
1995-01-19 -9999.0  277.22 281.13 285.48 291.41 295.09 304.63  320.19
1995-01-20 -9999.0  277.27 280.39 284.24 290.31 293.82 301.91  319.60
1995-01-21 -9999.0  277.18 281.26 284.20 290.41 293.12 303.92  317.91
1995-01-22 -9999.0  276.97 281.18 284.74 290.23 292.02 302.44  315.48
1995-01-23 -9999.0  277.00 280.91 284.43 290.09 292.00 301.47  314.96
1995-01-24 -9999.0  277.66 281.78 284.98 289.89 292.46 300.71  311.99
1995-01-25 -9999.0  277.57 281.70 285.25 289.76 290.60 299.68  310.94
1995-01-26 -9999.0  277.86 281.48 284.96 289.43 291.03 299.55  309.65
1995-01-27 -9999.0  277.95 281.07 284.31 289.04 290.18 299.06  310.30
1995-01-28 -9999.0  276.76 279.77 283.48 288.43 290.05 298.91  310.26
1995-01-29 -9999.0  275.25 280.26 282.60 288.27 290.65 298.75  311.20
1995-01-30 -9999.0  276.39 279.03 282.42 288.23 291.43 297.72  313.17
1995-01-31 -9999.0  274.27 278.40 282.19 288.00 292.01 297.81  314.66
1995-02-01 -9999.0  273.31 278.21 281.41 287.57 291.73 299.49  312.99
1995-02-02 -9999.0  272.53 277.25 281.35 287.25 290.04 299.07  313.55
1995-02-03 -9999.0  273.54 277.44 281.11 286.82 289.53 298.93  312.55
1995-02-04 -9999.0  273.36 276.62 280.98 286.60 289.88 298.91  313.46
1995-02-05 -9999.0  272.69 276.91 281.16 286.35 289.22 298.21  312.11
1995-02-06 -9999.0  272.26 276.25 280.84 286.10 289.17 297.97  310.51
1995-02-07 -9999.0  271.98 275.83 280.64 285.85 289.45 296.75  310.08
1995-02-08 -9999.0  271.77 275.60 280.14 285.56 289.43 297.42  309.44
1995-02-09 -9999.0  271.14 275.00 279.61 284.88 289.12 294.01  308.15
1995-02-10 -9999.0  270.94 275.09 279.66 284.93 288.17 294.87  308.16
1995-02-11 -9999.0  270.79 276.29 279.70 284.62 288.01 293.80  310.04
1995-02-12 -9999.0  271.70 275.52 279.41 284.46 287.53 293.51  309.92
1995-02-13 -9999.0  272.23 275.40 279.46 283.77 287.19 293.37  307.06
1995-02-14 -9999.0  271.99 275.19 279.68 283.66 287.83 293.38  307.38
1995-02-15 -9999.0  271.83 275.22 279.11 283.54 288.13 293.14  307.30
1995-02-16 -9999.0  271.12 274.97 277.73 283.38 288.78 293.13  310.60
1995-02-17 -9999.0  269.83 274.80 277.52 283.09 288.63 293.47  308.28
1995-02-18 -9999.0  271.04 273.15 277.19 282.96 287.66 293.85  306.81
1995-02-19 -9999.0  268.96 273.55 277.02 282.91 287.13 293.58  306.67
1995-02-20 -9999.0  268.50 273.27 277.58 282.62 286.90 293.41  307.60
1995-02-21 -9999.0  267.10 273.09 276.90 281.83 285.08 292.28  306.70
1995-02-22 -9999.0  267.73 273.71 276.70 282.24 285.32 293.69  304.97
1995-02-23 -9999.0  266.36 272.22 276.01 282.05 286.04 294.11  304.37
1995-02-24 -9999.0  269.22 271.87 276.51 282.34 286.14 293.52  304.54
1995-02-25 -9999.0  268.89 272.42 277.28 282.53 286.38 294.52  302.23
1995-02-26 -9999.0  268.29 271.73 277.52 282.60 287.16 295.02  301.90
1995-02-27 -9999.0  267.69 272.26 277.40 282.38 287.63 294.18  302.87
1995-02-28 -9999.0  267.04 272.29 276.28 282.43 287.32 292.95  303.24
1995-03-01 -9999.0  265.12 272.71 276.43 282.44 286.47 293.45  303.67
1995-03-02 -9999.0  265.47 272.85 276.49 282.12 285.86 292.35  305.69
1995-03-03 -9999.0  264.55 272.30 276.86 282.13 286.48 292.73  309.45
1995-03-04 -9999.0  263.74 271.35 277.40 282.35 285.96 292.86  307.91
1995-03-05 -9999.0  264.55 271.94 277.93 282.29 286.57 291.77  305.92
1995-03-06 -9999.0  265.10 271.97 278.84 283.14 287.91 293.70  308.20
